-- Found ament_cmake: 1.3.11 (/opt/ros/humble/share/ament_cmake/cmake)
-- Override CMake install command with custom implementation using symlinks instead of copying resources
-- Found ament_lint_auto: 0.12.12 (/opt/ros/humble/share/ament_lint_auto/cmake)
-- Added test 'copyright' to check source files copyright and LICENSE
-- Added test 'flake8' to check Python code syntax and style conventions
-- Added test 'lint_cmake' to check CMake code style
-- Added test 'pep257' to check Python code against some of the docstring style conventions in PEP 257
-- Added test 'xmllint' to check XML markup files
-- Configuring done
-- Generating done
-- Build files have been written to: /home/arham/mecanum_drive_2/build/mecanum_drive
-- Install configuration: ""
-- Execute custom install script
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/config/empty.yaml
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/config/mecanum_controllers.yaml
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/description/robot.urdf.xacro
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/description/robot_core.xacro
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/description/ros2_control.xacro
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/launch/launch_sim.launch.py
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/launch/rsp.launch.py
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/worlds/empty.world
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/meshes/chesi.STL
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/meshes/lidar.STL
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/meshes/plate.STL
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/meshes/tyre.STL
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/ament_index/resource_index/package_run_dependencies/mecanum_drive
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/ament_index/resource_index/parent_prefix_path/mecanum_drive
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/environment/ament_prefix_path.sh
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/environment/ament_prefix_path.dsv
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/environment/path.sh
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/environment/path.dsv
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/local_setup.bash
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/local_setup.sh
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/local_setup.zsh
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/local_setup.dsv
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/package.dsv
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/ament_index/resource_index/packages/mecanum_drive
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/cmake/mecanum_driveConfig.cmake
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/cmake/mecanum_driveConfig-version.cmake
-- Symlinking: /home/arham/mecanum_drive_2/install/mecanum_drive/share/mecanum_drive/package.xml
